PolyOrigin-PolyAncestry,designinfo
population,A,B,C
1,2,0,0
2,1,1,0
3,1,0,1
4,0,1,1
PolyOrigin-PolyAncestry,parentinfo
individual,ploidy
A,4
B,4
C,4
PolyOrigin-PolyAncestry,offspringinfo
individual,population,ploidy,isoutlier
AxA0001,1,4,false
AxA0002,1,4,false
AxA0003,1,4,false
AxA0004,1,4,false
AxA0005,1,4,false
AxA0006,1,4,false
AxA0007,1,4,false
AxA0008,1,4,false
AxA0009,1,4,false
AxA0010,1,4,false
AxB0001,2,4,false
AxB0002,2,4,false
AxB0003,2,4,false
AxB0004,2,4,false
AxB0005,2,4,false
AxB0006,2,4,false
AxB0007,2,4,false
AxB0008,2,4,false
AxB0009,2,4,false
AxB0010,2,4,false
AxC0001,3,4,false
AxC0002,3,4,false
AxC0003,3,4,false
AxC0004,3,4,false
AxC0005,3,4,false
AxC0006,3,4,false
AxC0007,3,4,false
AxC0008,3,4,false
AxC0009,3,4,false
AxC0010,3,4,false
BxC0001,4,4,false
BxC0002,4,4,false
BxC0003,4,4,false
BxC0004,4,4,false
BxC0005,4,4,false
BxC0006,4,4,false
BxC0007,4,4,false
BxC0008,4,4,false
BxC0009,4,4,false
BxC0010,4,4,false
PolyOrigin-PolyAncestry,delmarker
marker,chromosome,position
PolyOrigin-PolyAncestry,correction
round,marker,chromosome,parent,old_genotype,new_genotype,old_nerr,new_nerr
4,2|3,B|C,4|3,1:2:3:4-1:2:3:4|5:8-6:7
4,2|3,B|C,1|4,1:2-3:4|5:6:7:8-5:6:7:8
4,2|3,B|C,2|4,1:3-2:4|5:6:7:8-5:6:7:8
4,2|3,B|C,3|4,1:4-2:3|5:6:7:8-5:6:7:8
4,2|3,B|C,4|4,1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8
PolyOrigin-PolyAncestry,valentprob
chromosome,individual,population,valentindex,valent,loglike,valentprob
A,AxA0001,1,9|3|13|4|16|15|12|5|2|14|8|10|7,1:2-3:4|1:4-2:3|1:4-2:3|1:2-3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:2-3:4|1:3-2:4|1:3-2:4|1:2-3:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:3-2:4|1:4-2:3|1:4-2:3|1:3-2:4,-17.77|-17.77|-18.782|-18.782|-19.885|-20.178|-20.178|-20.571|-20.571|-21.504|-21.504|-24.746|-24.746,0.3126|0.3126|0.1136|0.1136|0.0377|0.0281|0.0281|0.019|0.019|0.0075|0.0075|0.0003|0.0003
A,AxA0002,1,11|15|12|9|3|16|13|4|10|7|14|8|5|2,1:4-2:3|1:4-2:3|1:4-2:3|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:2-3:4|1:4-2:3|1:4-2:3|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:2-3:4|1:3-2:4|1:4-2:3|1:4-2:3|1:3-2:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2-3:4|1:3-2:4|1:3-2:4|1:2-3:4,-13.708|-15.6|-15.6|-15.779|-15.779|-17.836|-19.401|-19.401|-19.43|-19.43|-20.409|-20.409|-21.49|-21.49,0.6304|0.095|0.095|0.0795|0.0795|0.0102|0.0021|0.0021|0.0021|0.0021|0.0008|0.0008|0.0003|0.0003
A,AxA0003,1,9|3|10|7|15|12|16|14|13|8|4,1:2-3:4|1:4-2:3|1:4-2:3|1:2-3:4|1:3-2:4|1:4-2:3|1:4-2:3|1:3-2:4|1:4-2:3|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:4-2:3|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2-3:4|1:2:3:4-1:2:3:4|1:2:3:4-1:2:3:4|1:3-2:4|1:2:3:4-1:2:3:4|1:2-3:4,-31.575|-31.575|-31.614|-31.614|-31.777|-31.777|-35.345|-36.449|-36.421|-36.449|-36.421,0.1782|0.1782|0.1714|0.1714|0.1456|0.1456|0.0041|0.0014|0.0014|0.0014|0.0014
